School name,Address,City,State,School type,School Type,Number of students,Bilingual Education ,Type,Grades,Classes per grade,
PS 127 AEROSPACE SCIENCE MAGNET,98_01 25 Ave,New York,New York,Elementary School , Public,1459,No,-,-,-,
PS 143 LOUIS ARMSTRONG,110_02 Northern Blvd,New York,New York,Elementary School , Public,1836,No,-,-,-,
PS 148,89_02 32 Ave,New York,New York,Elementary School , Public,1042,Yes,DLBE,-,-,
PS 149 CHRISTA MCAULIFFE,93_11 34 Ave,New York,New York,Elementary School , Public,1261,Yes,DLBE,K-5,-,
PS 212,34_25 82 St,New York,New York,Elementary School , Public,807,Yes,DLBE,K-4 (soon 5),-,
PS 222_FF CHRISTOPHER A SANTORA,86_15 37 Ave,New York,New York,Elementary School , Public,342,Yes,DLBE,Pre K-2,-,
PS 228 EARLY CHILDHOOD MAGNET,32_63 93 St,New York,New York,Elementary School , Public,370,Yes,DLBE,Pre K-2,-,
PS 280,34_20 94 St,New York,New York,Elementary School , Public,482,Yes,DLBE,K-5,-,
PS 330,110_08 Northern Blvd,New York,New York,Elementary School , Public,379,No,-,-,-,
PS 69 JACKSON HEIGHTS,77_02 37 Ave,New York,New York,Elementary School , Public,1235,No,-,-,-,
PS 92 HARRY T STEWART SR,99_01 34 Ave,New York,New York,Elementary School , Public,900,Yes,DLBE,K (growing a grade each year),,
IS 145 JOSEPH PULITZER,33_34 80 St,New York,New York,Intermediate/JHS , Public,2080,Yes,DLBE,6-8,2,
 IS 227 LOUIS ARMSTRONG,32_02 Junction Blvd,New York,New York,Intermediate/JHS , Public,1684,No,-,-,-,
IS 230,73_10 34 Ave,New York,New York,Intermediate/JHS , Public,995,No,-,-,-,
EAST ELMHURST COMMUNITY SCHOOL,26_25 97 St,New York,New York,Other School , Public Charter,71,No,-,-,-,
RENAISSANCE CHARTER HS_INNOVATION,35_59 81 St,New York,New York,High School , Public Charter,441,No,-,-,-,
RENAISSANCE CHARTER SCHOOL (THE),35_59 81 St,New York,New York,K-12 School , Public Charter,537,No,-,-,-,
PS 398,69-1 34th Ave,New York,New York,K-12 School ,Public,117,Yes,DLBE,n/a,-,
